book,window,regime,days,pct_days,sum_log_net,sum_rel,sharpe,avg_gross,dd_share
dual_momentum_gold,W1,R3:falling,180,71.4,0.2257,0.1461,1.08,,0.55
dual_momentum_gold,W1,R3:rising,72,28.6,0.3304,0.2992,2.38,,0.45
dual_momentum_gold,W1,R4:falling_be,174,69.0,0.4977,0.5079,1.88,,0.9
dual_momentum_gold,W1,R4:rising_be,78,31.0,0.0583,-0.0627,0.69,,0.1
dual_momentum_gold,W1,R5:risk_on,174,69.0,0.5875,0.4888,2.26,,0.71
dual_momentum_gold,W1,R5:risk_off,78,31.0,-0.0314,-0.0436,-0.03,,0.29
dual_momentum_gold,W1,R6:persistent,225,89.3,0.6415,0.5618,1.97,,0.61
dual_momentum_gold,W1,R6:choppy,27,10.7,-0.0855,-0.1165,-1.37,,0.39
dual_momentum_gold,W2,R1:bull,950,75.6,1.1267,0.7812,1.23,1.47,0.69
dual_momentum_gold,W2,R1:bear,306,24.4,0.1501,0.0043,0.58,1.28,0.31
dual_momentum_gold,W2,R2:low,830,66.1,1.0034,0.8383,1.26,1.47,0.49
dual_momentum_gold,W2,R2:high,361,28.7,0.14,-0.0171,0.49,1.33,0.4
dual_momentum_gold,W2,R2:crisis,65,5.2,0.1334,-0.0357,1.69,1.34,0.11
dual_momentum_gold,W2,R3:falling,639,50.9,0.7544,0.3263,1.25,,0.13
dual_momentum_gold,W2,R3:rising,617,49.1,0.5224,0.4592,0.89,,0.87
dual_momentum_gold,W2,R4:rising_be,783,62.3,0.5102,0.306,0.76,,0.9
dual_momentum_gold,W2,R4:falling_be,473,37.7,0.7666,0.4796,1.5,,0.1
dual_momentum_gold,W2,R5:risk_off,388,30.9,0.3266,-0.2706,0.88,,0.28
dual_momentum_gold,W2,R5:risk_on,868,69.1,0.9502,1.0561,1.16,,0.72
dual_momentum_gold,W2,R6:persistent,937,74.6,1.1911,0.4693,1.32,,0.53
dual_momentum_gold,W2,R6:choppy,319,25.4,0.0857,0.3162,0.38,,0.47
dual_momentum_gem,W1,R1:bull,208,82.5,0.3458,0.2228,1.85,1.5,1.0
dual_momentum_gem,W1,R1:bear,44,17.5,0.1151,0.0781,1.78,1.5,-0.0
dual_momentum_gem,W1,R2:low,202,80.2,0.2085,0.1651,1.15,1.5,0.14
dual_momentum_gem,W1,R2:high,48,19.0,0.2011,0.109,3.14,1.5,0.86
dual_momentum_gem,W1,R2:crisis,2,0.8,0.0514,0.0268,,1.5,-0.0
dual_momentum_gem,W1,R3:falling,180,71.4,0.2003,0.0983,1.26,,1.0
dual_momentum_gem,W1,R3:rising,72,28.6,0.2606,0.2026,2.76,,-0.0
dual_momentum_gem,W1,R4:falling_be,174,69.0,0.1653,0.1302,1.08,,0.92
dual_momentum_gem,W1,R4:rising_be,78,31.0,0.2957,0.1706,3.02,,0.08
dual_momentum_gem,W1,R5:risk_on,174,69.0,0.3808,0.2479,2.09,,0.58
dual_momentum_gem,W1,R5:risk_off,78,31.0,0.0802,0.0529,1.07,,0.42
dual_momentum_gem,W1,R6:persistent,225,89.3,0.3342,0.2111,1.52,,0.52
dual_momentum_gem,W1,R6:choppy,27,10.7,0.1267,0.0897,3.5,,0.48
dual_momentum_gem,W2,R1:bull,950,75.6,0.8304,0.4493,1.04,1.46,0.35
dual_momentum_gem,W2,R1:bear,306,24.4,-0.005,-0.122,0.17,1.25,0.65
dual_momentum_gem,W2,R2:low,830,66.1,0.3507,0.1538,0.57,1.47,0.19
dual_momentum_gem,W2,R2:high,361,28.7,0.3668,0.2176,1.01,1.29,0.61
dual_momentum_gem,W2,R2:crisis,65,5.2,0.1078,-0.0442,1.07,1.34,0.21
dual_momentum_gem,W2,R3:falling,639,50.9,0.2751,-0.1521,0.54,,0.08
dual_momentum_gem,W2,R3:rising,617,49.1,0.5503,0.4794,0.95,,0.92
dual_momentum_gem,W2,R4:rising_be,783,62.3,0.5663,0.3902,0.77,,0.88
dual_momentum_gem,W2,R4:falling_be,473,37.7,0.2591,-0.0629,0.7,,0.12
dual_momentum_gem,W2,R5:risk_off,388,30.9,0.411,-0.1796,1.02,,0.26
dual_momentum_gem,W2,R5:risk_on,868,69.1,0.4143,0.5069,0.6,,0.74
dual_momentum_gem,W2,R6:persistent,937,74.6,0.9215,0.1864,1.08,,0.49
dual_momentum_gem,W2,R6:choppy,319,25.4,-0.0961,0.1409,-0.09,,0.51
momentum_concentrated,W1,R1:bull,208,82.5,0.2342,0.108,1.37,0.89,-0.0
momentum_concentrated,W1,R1:bear,44,17.5,0.0692,0.0359,1.08,0.89,1.0
momentum_concentrated,W1,R2:low,202,80.2,0.0371,-0.0017,0.31,0.93,1.0
momentum_concentrated,W1,R2:high,48,19.0,0.2601,0.1643,4.85,0.72,-0.0
momentum_concentrated,W1,R2:crisis,2,0.8,0.0062,-0.0188,,0.6,-0.0
momentum_concentrated,W1,R3:falling,180,71.4,0.1889,0.0893,1.15,,0.64
momentum_concentrated,W1,R3:rising,72,28.6,0.1144,0.0545,1.36,,0.36
momentum_concentrated,W1,R4:falling_be,174,69.0,0.1172,0.0797,0.83,,-0.0
momentum_concentrated,W1,R4:rising_be,78,31.0,0.1862,0.0641,1.83,,1.0
momentum_concentrated,W1,R5:risk_on,174,69.0,0.1763,0.0443,1.03,,1.0
momentum_concentrated,W1,R5:risk_off,78,31.0,0.127,0.0995,1.63,,-0.0
momentum_concentrated,W1,R6:persistent,225,89.3,0.1903,0.0713,0.88,,1.0
momentum_concentrated,W1,R6:choppy,27,10.7,0.1131,0.0725,4.5,,-0.0
momentum_concentrated,W2,R1:bull,950,75.6,0.4996,0.0921,0.74,0.95,0.64
momentum_concentrated,W2,R1:bear,306,24.4,0.2696,0.119,0.97,0.72,0.36
momentum_concentrated,W2,R2:low,830,66.1,0.1084,-0.0989,0.26,0.97,0.54
momentum_concentrated,W2,R2:high,361,28.7,0.4266,0.2492,1.46,0.75,0.35
momentum_concentrated,W2,R2:crisis,65,5.2,0.2341,0.0608,3.39,0.7,0.12
momentum_concentrated,W2,R3:falling,639,50.9,0.4636,0.0056,0.94,,0.83
momentum_concentrated,W2,R3:rising,617,49.1,0.3055,0.2055,0.66,,0.17
momentum_concentrated,W2,R4:rising_be,783,62.3,0.2846,0.0612,0.51,,1.0
momentum_concentrated,W2,R4:falling_be,473,37.7,0.4846,0.1499,1.35,,-0.0
momentum_concentrated,W2,R5:risk_off,388,30.9,0.5258,-0.0985,1.65,,0.43
momentum_concentrated,W2,R5:risk_on,868,69.1,0.2434,0.3095,0.43,,0.57
momentum_concentrated,W2,R6:persistent,937,74.6,0.5877,-0.1737,0.8,,0.43
momentum_concentrated,W2,R6:choppy,319,25.4,0.1815,0.3848,0.81,,0.57
