asset,cluster,benefit,cagr_vm,cagr_bh,n_days,avg_lev,start,end,risk_premium,vol_clustering,ret_vol_asym,dd_convexity,ar1_rv_overlap
XLU,US-equity,0.04595089824178045,0.13822138714876142,0.09227048890698097,5391,1.640561419459674,2005-02-03,2026-07-10,0.08877711207117962,0.3484656920614709,-0.10857226900856073,1.7507530697453588,0.9933309098114622
XLV,US-equity,0.05636224290326464,0.15718981303959456,0.10082757013632992,5391,1.7158601802455158,2005-02-03,2026-07-10,0.09081315852605114,0.32350156931822904,-0.09205617370389164,1.5260495358090227,0.9918282964672795
XLY,US-equity,0.04966391107884838,0.15787297453334848,0.1082090634545001,5391,1.4957415069681188,2005-02-03,2026-07-10,0.10644823616139287,0.25242835187505064,-0.08227916459908718,1.769220102715756,0.9938596245526846
XLC,US-equity,0.03931179660731421,0.1536953002701229,0.1143835036628087,2003,1.4409216062052992,2018-07-20,2026-07-10,0.10762227906649208,0.3952254997450649,-0.07968879089711149,1.6783589738194824,0.9900909922822337
XLRE,US-equity,0.014958059471071872,0.0895237044500341,0.07456564497896223,2681,1.5596362299159443,2015-11-09,2026-07-10,0.06920773520153364,0.4032920661724243,-0.07811433136052105,1.764665169792578,0.9927420688384901
EFA,intl-equity,0.013071196201335011,0.0758245377764406,0.06275334157510559,5391,1.5749516808110817,2005-02-03,2026-07-10,0.06408631881445155,0.2424298066092533,-0.09765284123012918,1.9540075206918397,0.9937536929449038
EEM,intl-equity,-0.008006898576549792,0.06528329690275192,0.07329019547930171,5391,1.3136311885211138,2005-02-03,2026-07-10,0.09089076361073649,0.1912992381198546,-0.06769725765455238,1.9930735102569799,0.9948343216900468
VGK,intl-equity,0.012273864696771941,0.07749392810238609,0.06522006340561415,5345,1.4903490230556562,2005-04-12,2026-07-10,0.0699921561091805,0.24733526694911517,-0.06577552341441231,1.8908217362913304,0.9933633343609795
EWJ,intl-equity,0.006072872466620138,0.06087588307117686,0.05480301060455672,5391,1.5150832910507328,2005-02-03,2026-07-10,0.05500756336707513,0.19636271586581638,-0.10503512954047971,1.70193604441058,0.9916666841015844
TLT,rates,0.007090468176379705,0.03636221591672251,0.0292717477403428,5391,1.7566949271534589,2005-02-03,2026-07-10,0.022437960220769205,0.3733813181614219,0.021028354650122753,1.1300640031565892,0.9904073542141074
IEF,rates,0.026853584843401723,0.058513508680423154,0.03165992383702143,5391,1.9859311233956547,2005-02-03,2026-07-10,0.015129259978994966,0.18850101876444011,0.00036603909474845563,1.1353493857647379,0.989224364551144
GLD,commodities,0.056843060496900355,0.16467844324862146,0.10783538275172111,5391,1.5974048445390878,2005-02-03,2026-07-10,0.09921062165098733,0.12749867047736677,-0.028597812728428793,1.2898888983569166,0.9875516887140487
SLV,commodities,-0.022578820806058886,0.05048493888965022,0.07306375969570911,5059,1.0190569451408085,2006-05-31,2026-07-10,0.10662588650138233,0.08782467167138946,-0.018319521308676704,1.5241650556999602,0.988095319610253
DBC,commodities,-0.009855255265902363,0.01124371232753063,0.021098967593432993,5116,1.511897442233086,2006-03-09,2026-07-10,0.01864921581509286,0.15119921035138326,-0.04948019401514355,1.3802605250601108,0.9891678225432301
USO,commodities,0.042223940827420536,-0.03584661854657056,-0.0780705593739911,5072,0.915105040615896,2006-05-11,2026-07-10,-0.027805358028124026,0.3099074174949402,-0.050599126002162556,1.6567085375495225,0.9912901321115714
VNQ,real-estate,0.05081611559434651,0.12497889231823467,0.07416277672388816,5391,1.4621558216484583,2005-02-03,2026-07-10,0.09075084633035979,0.3743732430709066,-0.08685844786671477,1.7288361270890396,0.996599549758445
