date,delta,rbar,F_mineig,p
2018-09-04,0.2645524688997992,0.24450679493747224,5.096036439153621e-05,418
2018-10-01,0.26419105588583536,0.24461666032908427,5.1398037818512283e-05,421
2018-11-01,0.25365283249852283,0.2715464096525003,5.5976040850202426e-05,421
2018-12-03,0.22461284906954196,0.28110761218466274,5.858485671247133e-05,424
2019-01-02,0.22106293975046656,0.3289504953158127,5.968912981812713e-05,423
2019-02-01,0.22886851998936003,0.34153308767231044,6.176815356569687e-05,423
2019-03-01,0.2283137190684014,0.3057932617901923,6.23018683533899e-05,424
2019-04-01,0.2421147600160537,0.29602203082757916,5.938126038347733e-05,424
2019-05-01,0.2586084304842683,0.28010855103655746,5.9562596810818386e-05,423
2019-06-03,0.23965711217571423,0.28835598254229244,5.191411283799791e-05,424
2019-07-01,0.23353188652126053,0.2926710052602549,5.280704004943003e-05,425
2019-08-01,0.23254520024479716,0.2935634318923082,5.1521219115276376e-05,426
2019-09-03,0.2127692813463789,0.326622398307923,5.346108945624303e-05,429
2019-10-01,0.20063676634240804,0.3233215657310178,5.672985577040116e-05,430
2019-11-01,0.20330104082145506,0.31569538417872145,5.044938281380637e-05,431
2019-12-02,0.211098439618003,0.30838332900523086,5.31598399468378e-05,432
2020-01-02,0.19072627503509448,0.2536746703312437,4.651738526943825e-05,435
2020-02-03,0.18487981001935197,0.24389137031050476,4.433277071533703e-05,436
2020-03-02,0.22391917705456932,0.3104281311337156,5.8157572442297786e-05,436
2020-04-01,0.7860201224101294,0.556678313352904,9.590770755073675e-05,440
2020-05-01,0.6285335485659378,0.5668543423178228,0.00010200848700142342,441
2020-06-01,0.5321383210588587,0.557688902549228,0.00010591664964760036,443
2020-07-01,0.4672183206581473,0.5628686526661907,0.00010421945260692407,445
2020-08-03,0.4490907022686666,0.5600671914916869,0.00010402508561954256,445
2020-09-01,0.4411250105464298,0.5493957980097192,0.00010489167939125415,445
2020-10-01,0.4330112891186155,0.5527797908695713,0.00010444113615933348,445
2020-11-02,0.42194495588367986,0.5555309491792549,0.00010457140022733897,446
2020-12-01,0.35959394043986703,0.5417937661028154,0.00010899415427629079,447
2021-01-04,0.3474320468620345,0.538675577842658,0.00011024484716470308,447
2021-02-01,0.3344626652039279,0.5310745424619421,0.00011520616557467197,449
2021-03-01,0.3434848207711264,0.5242092845006412,0.00011698554985847729,449
2021-04-01,0.15782346582685483,0.3730106784901861,7.876370621525734e-05,452
2021-05-03,0.14696153553954255,0.3185528951165625,7.093532654091011e-05,453
2021-06-01,0.17445164659552212,0.3075017784850128,6.329343339798881e-05,454
2021-07-01,0.1840445853858649,0.2617815310486351,5.8879875288332424e-05,454
2021-08-02,0.18838324403229048,0.26550188220336884,5.5341301085843165e-05,455
2021-09-01,0.19511393419811815,0.27235714670669586,5.405743299490199e-05,457
2021-10-01,0.19369438677381143,0.2547475267592801,5.3088350240405326e-05,456
2021-11-01,0.20466776179902263,0.2367411558359951,5.6386430606335885e-05,456
2021-12-01,0.13525992262028197,0.23824946683708856,5.66851106491105e-05,456
2022-01-03,0.13067448729122458,0.24688827239753516,6.094319781267041e-05,457
2022-02-01,0.1280550654613902,0.24919475198002153,5.614410278041275e-05,458
2022-03-01,0.13446607139762007,0.26742545775199833,5.6208746412198896e-05,459
2022-04-01,0.13920960477195826,0.27998684663996637,5.589470093339519e-05,460
2022-05-02,0.1436901791091766,0.29791622348187435,6.30574574684001e-05,462
2022-06-01,0.15574155394423886,0.32334023576420423,6.747917449722136e-05,464
2022-07-01,0.15315310667933843,0.35557509983135427,6.977661957022513e-05,466
2022-08-01,0.1519804446944022,0.3546943495263048,7.097530843208482e-05,466
2022-09-01,0.14631475665193458,0.3673759874358254,7.34623628440194e-05,466
2022-10-03,0.14730909925886926,0.3895041499431332,7.357442901280953e-05,468
2022-11-01,0.1473260561904182,0.40761804268332524,7.351022156703704e-05,470
2022-12-01,0.15382078557706322,0.41902556871755203,7.255629894334652e-05,471
2023-01-03,0.15676857697238783,0.42205390723944763,6.919985273651581e-05,473
2023-02-01,0.1561583249218286,0.42870536224109884,7.080680388423008e-05,473
2023-03-01,0.16254422042856567,0.4258662408996663,6.589338482760007e-05,473
2023-04-03,0.1942921563506806,0.4315018588536359,6.267510589505586e-05,475
2023-05-01,0.20258583106030903,0.42991768418091636,6.403610693396214e-05,475
2023-06-01,0.205469992878817,0.40756043741717785,5.932091293598485e-05,477
2023-07-03,0.21855122185342807,0.38212969271276315,5.7973879841923136e-05,477
2023-08-01,0.232118396376815,0.3727166680489389,5.646405739777163e-05,478
2023-09-01,0.24951151211129816,0.3605131908661213,5.516543664166273e-05,478
2023-10-02,0.2604139629961662,0.338247493780557,5.1972010012092965e-05,477
2023-11-01,0.2676494112778663,0.29940678357659084,5.4007460502545655e-05,479
2023-12-01,0.21824057320599513,0.277687465250914,5.2297351954094454e-05,479
2024-01-02,0.21545153982117865,0.26343212655865084,5.3188148013448475e-05,480
2024-02-01,0.2159041995292102,0.2521230751654575,5.1311612796844535e-05,480
2024-03-01,0.21656775815015056,0.24847348376219058,5.0144631179177784e-05,480
2024-04-01,0.2298322035055034,0.22316162474117857,4.5270307809673785e-05,482
2024-05-01,0.22193508539460582,0.22129377141958714,4.6294900295644236e-05,480
2024-06-03,0.23483908848952845,0.21871809850989068,4.5952989359359666e-05,482
