cell,,date,p,psi1,vol_pca1,vol_jse1,turnover_pca1,turnover_jse1
large_63,22,2020-03-02,484,0.9869500376355914,0.8813309452510345,0.8800440786948673,0.6622344643524537,0.6735782218853608
large_63,23,2020-04-01,484,0.9956502529553716,0.3350467837983344,0.3341936921920817,0.9616625160841967,0.9709207884811484
large_63,24,2020-05-01,484,0.9956320911642313,0.17156154647250843,0.17104528372850417,0.205341168411097,0.20618991215292654
large_63,25,2020-06-01,484,0.9955203977626478,0.2168138407957016,0.2161430659398347,0.1328336867297253,0.13293431110220796
large_63,26,2020-07-01,486,0.9939288605443382,0.09473169453307938,0.09452716979206024,0.4978176421237389,0.4997186911122824
large_63,27,2020-08-03,486,0.9926483575391297,0.06863380848560313,0.06888470653125542,0.3733565626499007,0.37554214395964475
large_63,28,2020-09-01,486,0.9900560257607753,0.2041194596033745,0.20415378902490516,0.2610511504622919,0.262559759616002
large_63,29,2020-10-01,486,0.9799213488756744,0.15446433785073518,0.1537189938128091,0.41670558798548313,0.42462055995372605
large_63,30,2020-11-02,486,0.9840388824638197,0.11780438564585417,0.11760097881761153,0.38184577424394156,0.3850434021515384
large_63,31,2020-12-01,486,0.9882110102461665,0.09562654591140418,0.09550188872701668,0.4957397370591793,0.5089583436349543
large_63,32,2021-01-04,487,0.988135006354349,0.12998617454957606,0.1298118132042315,0.1966649781579785,0.19693793342642052
large_63,33,2021-02-01,487,0.9862358536566189,0.11872363523872206,0.11864435768134093,0.20531086700994494,0.2057287822492848
large_63,34,2021-03-01,487,0.9777147192253082,0.12239610823519158,0.1222455449609848,0.43036950176990607,0.44339465977986603
large_63,35,2021-04-01,489,0.9777748358936676,0.07661904143762502,0.07682145497335459,0.3139067159024913,0.3208771666710283
large_63,36,2021-05-03,489,0.9761256035328156,0.1154556581692257,0.11512896016289112,0.35151203723508073,0.3583634513792875
large_63,37,2021-06-01,490,0.977483834096101,0.107325739695585,0.10744664367326726,0.2731844598978474,0.27908544385903766
large_63,38,2021-07-01,490,0.9745749875054348,0.08510867304774618,0.08415781185858487,0.5342139305724565,0.5488205954367465
large_63,39,2021-08-02,492,0.9810040963177875,0.07227675533195452,0.07256303950942992,0.33743695222686365,0.34257611304761104
large_63,40,2021-09-01,492,0.982561752323954,0.11178559076686964,0.11167377527418919,0.3553284403514548,0.3596580351241257
large_63,41,2021-10-01,492,0.9836093243439983,0.09121851135347968,0.09109947950022955,0.2555132455126855,0.2581206620358104
large_63,42,2021-11-01,493,0.9749623360334722,0.11682989362002866,0.11643892742486962,0.32007456553655933,0.325707622711093
large_63,43,2021-12-01,493,0.9769192161612711,0.11265151805627166,0.11211636813593878,0.33714560818230177,0.3456699807961988
large_63,44,2022-01-03,493,0.9792442450953479,0.10256911346139347,0.10177176171671141,0.3250353417994476,0.3284236489155485
large_63,45,2022-02-01,493,0.9823750743771423,0.1571990556114261,0.15685067065816446,0.4111590036920842,0.4180348052252211
large_63,46,2022-03-01,493,0.986437090969643,0.13107042708569036,0.13055455389247173,0.29719837157220697,0.3029407276648965
