uni,n,k,date,p,V_full,V_flat,V_proj,rot_cv,ctl_relexc,lam_spread
large,252,3,2022-09-01,493,0.20686024847766124,0.21060179061188872,0.17732110821189576,0.012062647957368788,0.19956828598975296,8.962483000139503
large,252,3,2022-10-03,493,0.11216690583191216,0.11223674133766551,0.11130013496174794,0.056661315367755725,1.3121202367704639,9.776039038980299
large,252,3,2022-11-01,493,0.18967867181603423,0.17975285692262347,0.17973289506894458,0.12501785321042466,0.28152966706990035,10.000922803878245
large,252,3,2022-12-01,493,0.11947761107645673,0.12075959364779057,0.11467107596671923,0.02794116441597334,0.349097889910043,10.807887048173896
large,252,3,2023-01-03,493,0.14727764247988254,0.14182135173081886,0.12643366378232407,0.07717598714408877,0.11437290513093545,11.214045112883454
large,252,3,2023-02-01,494,0.1452185384087981,0.13667987400420953,0.1781421669457192,0.14279650853936052,-0.1809581204577133,11.96321073780853
large,252,3,2023-03-01,494,0.13206575964926445,0.12556308155321402,0.14314825536987202,0.05649651282740593,0.4669095248599431,11.745195936680503
large,252,3,2023-04-03,494,0.1180923171439722,0.1119593199739183,0.14039594564908447,0.10157215122434175,-0.05575752761543906,11.392874278964701
large,252,3,2023-05-01,494,0.12490744451277679,0.1182228368790897,0.1714254576212656,0.11643673967432443,-0.04642452710540668,11.231082695598671
large,252,3,2023-06-01,494,0.15709161319475745,0.15554536712892633,0.21325683006489268,0.08006334947735716,-0.26827319130885263,10.219131289928557
large,252,3,2023-07-03,494,0.10154598989905428,0.09594206051984278,0.15128031484799362,0.09234570430240223,-0.28583822450845875,10.043116520271532
large,252,3,2023-08-01,494,0.12561799089177564,0.12355022627844095,0.13021813684971353,0.03512023293460448,-0.2362314708678026,9.450399144588971
large,252,3,2023-09-01,494,0.12235620379916884,0.12030806223396755,0.13368153390414722,0.03734042463193622,-0.13487558474601946,9.233417720940736
large,252,3,2023-10-02,494,0.13506175304818555,0.13270198196196578,0.1279319529869797,0.032247488931490875,0.021143648108625346,8.175693874152268
large,252,3,2023-11-01,494,0.1014930201230553,0.09900450355655745,0.10924744462083903,0.03479336051855821,0.30618827258769277,7.06366980686112
large,252,3,2023-12-01,494,0.19430045932435452,0.18947889732093093,0.18227138224191217,0.036237135654855875,-0.42208594188452697,6.238408149958409
large,252,3,2024-01-02,495,0.09864075506946485,0.09795243112378695,0.09546635923563784,0.015686961204040527,0.05109321850389925,6.123602381309068
large,252,3,2024-02-01,495,0.0746785963692956,0.07397894290677365,0.07729199406561707,0.029584518424310778,0.31800054845350534,6.164716741838372
large,252,3,2024-03-01,495,0.07896145472179741,0.07832002786217507,0.08532933807097204,0.016718524590326245,0.15233058032065339,6.199302510486948
large,252,3,2024-04-01,495,0.07683005451950843,0.07663545563959735,0.07494625695596689,0.0035327817699116184,0.44130383234274717,6.012828904434753
large,252,3,2024-05-01,495,0.09547821935061351,0.09490144985971828,0.09880283060124583,0.007605167748246276,0.13984652441290968,6.311896203211327
large,252,3,2024-06-03,496,0.08769712914919217,0.0859834137153155,0.07625401112660113,0.04518828798005684,-0.2053057054537476,6.429190150458608
large,252,3,2024-07-01,496,0.09223875228052394,0.09288375083511591,0.09977866412428371,0.03752124540757229,0.15884375748095536,7.045509510439945
large,252,3,2024-08-01,496,0.1118156896536876,0.11425572542403219,0.11991110169185994,0.01897840027102819,0.29440010769561153,7.846426442916901
large,252,3,2024-09-03,496,0.08416329767887921,0.08325823753300451,0.07817179352722256,0.027671403491884138,0.06131932119031047,8.607547841861033
