uni,n,k,date,p,V1,stab1,V3,stab3,V6,stab6,V12,stab12
large,252,3,2021-10-01,484,0.0728896691346631,0.999999999999998,0.07595485539649256,0.9970861037978885,0.07922742873566671,0.9809560758682114,0.0664403301228767,0.8307370140023445
large,252,3,2021-11-01,484,0.12820778937138855,0.9999999999999984,0.1313286340172869,0.9968053164968964,0.1314909225836438,0.9818935441750325,0.13788878402502855,0.8453892874768347
large,252,3,2021-12-01,484,0.08207284969474789,0.9999999999999984,0.08361317774597692,0.9766357127622076,0.08877372661495612,0.9739060052771783,0.09549252741025771,0.866363432483264
large,252,3,2022-01-03,484,0.1507787580451192,0.9999999999999977,0.15082868978668543,0.975591237988812,0.15305263681729675,0.97298729568243,0.15805894251622915,0.8941165638093506
large,252,3,2022-02-01,484,0.1241583506773279,1.0000000000000004,0.13804046568412898,0.990563130879865,0.14684384245479135,0.9704631496845497,0.1464870588529883,0.925169033506846
large,252,3,2022-03-01,486,0.17456085416198477,0.9999999999999992,0.15422719714550912,0.9930295240831547,0.15951450646613718,0.971696364597647,0.17023617178115494,0.9540213625506428
large,252,3,2022-04-01,486,0.17504188482845198,0.9999999999999997,0.16956520700611147,0.9801090829611687,0.16714725041310427,0.9735729653384977,0.17067014534139252,0.9536622801124703
large,252,3,2022-05-02,486,0.22223245574413214,0.9999999999999973,0.23380137078429694,0.977588122282104,0.2321570460074152,0.9673364749056215,0.23428379893268986,0.9524290428215091
large,252,3,2022-06-01,486,0.21045510249162913,0.9999999999999976,0.21908633692780355,0.9884822149335637,0.2281321954096655,0.9626681608354707,0.23767162887488041,0.9511867590682995
large,252,3,2022-07-01,486,0.09269363542252858,0.999999999999999,0.09671399187340832,0.993314271560914,0.1139002264886514,0.9621578928681269,0.1122566541273982,0.9461169709463978
large,252,3,2022-08-01,486,0.15838731623362348,1.0000000000000002,0.14138529070295477,0.992551987470948,0.12750363933960898,0.9638529623498457,0.12474300574869192,0.9357387500115172
large,252,3,2022-09-01,487,0.17870572552684869,0.9999999999999984,0.1754290152091122,0.9942249085216306,0.19956464019880576,0.9801340319496129,0.21827068708734265,0.9369678387946543
large,252,3,2022-10-03,487,0.12203797372048406,0.9999999999999989,0.13190954565264024,0.9937009236424517,0.1380007472852146,0.9848986376283808,0.14157226517587118,0.9369079093809031
large,252,3,2022-11-01,487,0.15654459106015142,0.999999999999999,0.14066461443510772,0.9925778655495657,0.12504691457452788,0.984490062726236,0.12232188957964611,0.941482637105963
large,252,3,2022-12-01,489,0.1041094930300761,0.9999999999999989,0.09510385238335906,0.9921008652530362,0.09078993549915575,0.9823371168300189,0.10838443723625557,0.9502372413381944
large,252,3,2023-01-03,489,0.11734506621405524,0.999999999999998,0.12359745746595568,0.9918488129172189,0.12847607725223284,0.9770765428470328,0.12040035581450564,0.9532132778414133
large,252,3,2023-02-01,490,0.15583693447111854,0.9999999999999981,0.14917705141409618,0.985852787015414,0.14446714159100282,0.9697155138462683,0.13716980724468886,0.9457554089886638
large,252,3,2023-03-01,490,0.1252019055277696,0.9999999999999999,0.1269918869059255,0.9873627681929787,0.1307963850146471,0.9676472156129244,0.14442042512936637,0.937803801116184
large,252,3,2023-04-03,492,0.12111170207665864,1.0000000000000002,0.12499529130496215,0.9866277202883369,0.1319657633565298,0.9692498490914412,0.14604670928413674,0.9340351163358549
large,252,3,2023-05-01,492,0.14980638734932283,0.9999999999999997,0.15724347649216613,0.989237807122201,0.1628265394653731,0.9730899202191452,0.16159279571495502,0.9342660621237653
large,252,3,2023-06-01,492,0.18863188144016993,0.9999999999999967,0.18586439578391642,0.9850730042515105,0.17543270891792234,0.9735884541800266,0.15348683868607998,0.9396244875125445
