panel (3149, 6920) 2014-01-02 00:00:00 -> 2026-07-10 00:00:00
    miss_10pct_s7  missed_trades   0.349838 1.201503 -0.126047 0.211660  0.138178 -0.004558
     lag_10pct_s0     random_lag   0.354516 1.213140 -0.126047 0.211660  0.142856  0.000120
     lag_10pct_s1     random_lag   0.354215 1.212902 -0.126047 0.211660  0.142555 -0.000180
     lag_10pct_s2     random_lag   0.352925 1.209756 -0.126047 0.211660  0.141265 -0.001471
     lag_10pct_s4     random_lag   0.355945 1.216666 -0.126047 0.211660  0.144284  0.001549
     lag_10pct_s7     random_lag   0.351149 1.204679 -0.126047 0.211660  0.139489 -0.003246
missobs_0.5pct_s0    missing_obs   0.340948 1.252758 -0.112274 0.211660  0.129288 -0.013448
missobs_0.5pct_s1    missing_obs   0.599791 1.798067 -0.118410 0.211660  0.388131  0.245395
missobs_0.5pct_s2    missing_obs   0.374271 1.214470 -0.134961 0.211660  0.162611  0.019875
  missobs_2pct_s0    missing_obs   0.418531 1.736587 -0.116847 0.211660  0.206871  0.064135
  missobs_2pct_s1    missing_obs   0.418602 1.650861 -0.104381 0.211660  0.206941  0.064206
  missobs_2pct_s2    missing_obs   0.290922 1.259212 -0.114397 0.211660  0.079262 -0.063473
       start_+21d      alt_start   0.348681 1.272083 -0.126047 0.190058  0.158623  0.015887
       start_+42d      alt_start   0.330469 1.311229 -0.126047 0.165994  0.164475  0.021739
       start_+63d      alt_start   0.233943 1.083459 -0.126047 0.123419  0.110524 -0.032212
univ_U1-strictmem   alt_universe   0.348015 1.199614 -0.126047 0.211660  0.136355 -0.006380
   univ_U2-lagmem   alt_universe   0.347031 1.197044 -0.126047 0.211660  0.135371 -0.007365
        lev_x0.75       leverage   0.265053 1.213169 -0.095485 0.211660  0.053393 -0.089343
         lev_x0.5       leverage   0.175619 1.213169 -0.064292 0.211660 -0.036041 -0.178777
momentum_concentrated done in 20s, 45 rows
== trend_vol_qqq: baseline +201.08% (published +201.10%) bench +103.47% excess +97.62%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
         baseline       baseline   2.010816 1.111098 -0.195750 1.034652  0.976165  0.000000
        cost_x0.5          costs   2.025070 1.115533 -0.195324 1.034652  0.990418  0.014254
        cost_x2.0          costs   1.982507 1.102229 -0.196600 1.034652  0.947855 -0.028309
        cost_x4.0          costs   1.926671 1.084491 -0.198299 1.034652  0.892020 -0.084145
      cost_+10bps          costs   1.871864 1.066754 -0.200291 1.034652  0.837212 -0.138952
     param_sma-20         params   2.037662 1.130894 -0.192243 1.034652  1.003011  0.026846
     param_sma+20         params   1.322474 0.871445 -0.298543 1.034652  0.287823 -0.688342
   param_sigma-20         params   1.535341 1.111145 -0.162192 1.034652  0.500690 -0.475475
   param_sigma+20         params   2.484069 1.122394 -0.219002 1.034652  1.449417  0.473253
    param_rvlb-20         params   1.900499 1.073509 -0.201153 1.034652  0.865847 -0.110317
    param_rvlb+20         params   1.981253 1.106040 -0.191801 1.034652  0.946601 -0.029563
         delay_1d   signal_delay   2.084384 1.136247 -0.192799 1.034652  1.049732  0.073568
         delay_2d   signal_delay   1.914541 1.081325 -0.194117 1.034652  0.879889 -0.096275
         delay_5d   signal_delay   1.674082 0.990137 -0.208261 1.034652  0.639431 -0.336734
        exec_open exec_timestamp   2.123116 1.144558 -0.191498 1.034652  1.088465  0.112300
     miss_5pct_s0  missed_trades   2.022307 1.114588 -0.196758 1.034652  0.987655  0.011491
     miss_5pct_s1  missed_trades   2.005106 1.109633 -0.196541 1.034652  0.970454 -0.005710
     miss_5pct_s2  missed_trades   2.016759 1.112180 -0.195400 1.034652  0.982107  0.005943
     miss_5pct_s4  missed_trades   2.039799 1.118840 -0.206415 1.034652  1.005148  0.028983
     miss_5pct_s7  missed_trades   2.030511 1.116090 -0.195859 1.034652  0.995859  0.019695
    miss_10pct_s0  missed_trades   2.031126 1.116786 -0.194488 1.034652  0.996475  0.020310
    miss_10pct_s1  missed_trades   2.021557 1.115038 -0.195066 1.034652  0.986905  0.010741
    miss_10pct_s2  missed_trades   2.009212 1.109296 -0.195400 1.034652  0.974560 -0.001604
    miss_10pct_s4  missed_trades   2.014231 1.112486 -0.206994 1.034652  0.979579  0.003415
    miss_10pct_s7  missed_trades   2.073734 1.129199 -0.196078 1.034652  1.039082  0.062917
     lag_10pct_s0     random_lag   2.030293 1.116508 -0.194488 1.034652  0.995641  0.019477
     lag_10pct_s1     random_lag   2.019565 1.114407 -0.195066 1.034652  0.984914  0.008749
     lag_10pct_s2     random_lag   2.003798 1.107954 -0.195400 1.034652  0.969147 -0.007018
     lag_10pct_s4     random_lag   2.020306 1.113996 -0.206994 1.034652  0.985654  0.009489
     lag_10pct_s7     random_lag   2.087689 1.133534 -0.196078 1.034652  1.053037  0.076873
missobs_0.5pct_s0    missing_obs   0.791670 0.907168 -0.256739 1.034652 -0.242981 -1.219146
missobs_0.5pct_s1    missing_obs   0.472011 0.682827 -0.195750 1.034652 -0.562640 -1.538805
missobs_0.5pct_s2    missing_obs   0.703812 0.810911 -0.170231 1.034652 -0.330839 -1.307004
  missobs_2pct_s0    missing_obs   0.026733 0.204791 -0.043521 1.034652 -1.007918 -1.984083
  missobs_2pct_s1    missing_obs   0.007410 1.919726 -0.000277 1.034652 -1.027241 -2.003406
  missobs_2pct_s2    missing_obs   0.000000 0.000000  0.000000 1.034652 -1.034652 -2.010816
       start_+63d      alt_start   2.009427 1.171497 -0.195750 1.021424  0.988003  0.011839
      start_+126d      alt_start   1.726929 1.143672 -0.195750 0.908183  0.818746 -0.157418
      start_+252d      alt_start   1.999140 1.326990 -0.195750 1.527232  0.471907 -0.504257
      univ_U1-spy   alt_universe   1.004355 0.802510 -0.302147 1.034652 -0.030296 -1.006461
        lev_x0.75       leverage   1.339052 1.111098 -0.148910 1.034652  0.304401 -0.671764
         lev_x0.5       leverage   0.789365 1.111098 -0.100645 1.034652 -0.245287 -1.221452
trend_vol_qqq done in 1s, 42 rows
== defensive_ensemble: baseline +147.62% (published +147.60%) bench +57.27% excess +90.34%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
