ticker,delisted_utc,composite_figi,polygon_name,polygon_found
PBG,2010-03-01,,PEPSI BOTTLING GROUP,True
PBY,2021-06-15,,Prospect Capital Corporaton 6.25% Notes due 2028,True
PCH,2026-02-03,BBG000BQX2N3,PotlatchDeltic Corporation Common Stock,True
PCS,,,,False
PD,,,,False
PDG,2006-03-09,,PLACER DOME INC,True
PEL,2011-12-30,,MORGAN STANLEY PROPELS VAL OF S&P 500 INDEX,True
PET,2025-07-30,BBG00ZSDWKS3,Wag! Group Co. Common Stock,True
PGL,2007-02-22,,PEOPLES ENERGY CORP,True
PGN,2015-12-18,,PARAGON OFFSHORE PLC (GBR),True
PHA,2014-02-24,,"PULTEGROUP, INC 7.375% SENIOR NOTES DUE 6/01/2046",True
PHB,2026-02-23,BBG000TWWN01,Invesco Fundamental High Yield Corporate Bond ETF,True
PMCS,2016-01-19,,P M C SIERRA INC,True
PMI,,,,False
PNU,2012-03-23,,PNC FINL SVCS GRP PN CAP TR D CAP SECS,True
PPW,,,,False
PRD,2011-12-20,,"Primus Guaranty, LTD. Sr Nt (Bermuda)",True
PSFT,2005-01-10,,PEOPLESOFT INC,True
PTV,2010-11-17,,PACTIV CORPORATION,True
PVN,2005-10-03,,PROVIDIAN FINANCIAL BANCORP,True
PVT,2019-12-20,BBG00MXS1H95,Pivotal Acquisition Corp.,True
PWER,,,,False
PWJ,2011-06-16,,POWERSHARES DYNAMIC MID CAP GRTH PORTFOLIO,True
PZE,2018-05-21,,Petrobras Argentina S A,True
QLGC,2016-08-17,,QLOGIC CORP,True
QTRN,2003-09-26,,QUINTILES TRANSNATIONAL CORP,True
RAD,2023-10-17,BBG000BRWGG9,Rite Aid Corporation,True
RATL,,,,False
RBD,,,,False
RBK,2006-02-01,,REEBOK INTERNATIONAL LTD,True
RDS-A,,,,False
RLM,2019-08-01,,Realm Therapeutics plc American Depositary Shares,True
RML,2006-08-03,,RUSSELL CORPORATION (DELAWARE),True
RNB,,,,False
ROH,2009-04-02,,ROHM AND HASS COMPANY,True
RRD,2022-02-28,BBG00D0MXGL7,RR Donnelley & Sons Co.,True
RSHCQ,,,,False
RX,2010-03-01,,IMS HEALTH INC,True
RYC,,,,False
RYI,2026-02-24,BBG000Q7V224,RYERSON HOLDING CORPORATION,True
S,,,,False
SAF,2021-08-31,,Saratoga Investment Corp. 6.25% Notes due 2025,True
SAI,2024-09-11,,SAI.TECH Global Corporation Class A Ordinary Shares,True
SAPE,2015-02-09,,SAPIENT CORP,True
SB,,,,False
SBL,2009-10-30,,MERRILL LYNCH & CO INC UNITS ACCELERATED RETURN BEAR MKT NT,True
SDS,,,,False
SEBL,2006-02-01,,SIEBEL SYSTEMS INC,True
SEG,,,,False
SFA,2010-10-05,,MERRILL LYNCH & CO STRATEGIC ACCELERATED REDEMPTION SECS LKD,True
SFS,2019-06-21,,"Smart & Final Stores, Inc.",True
SGID,,,,False
SGP,,,,False
SHLD,,,,False
SHN,2015-02-02,,BANK AMERICA CORP MKT INDEX TARGET TM SEC (MITTS) LKD DJ IND,True
SII,,,,False
SK,,,,False
SLR,2007-10-02,,SOLECTRON CORP,True
SMI,,BBG012G3J7W9,VanEck HIP Sustainable Muni ETF,True
SMS,2013-10-11,BBG000BFDMB8,SIMS METAL MANAGEMENT LTD ADS (EA REPSTG 1 ORD SHS),True
SNT,,,,False
SNV,2026-01-02,BBG000BLNZL4,Synovus Financial Corp.,True
SOTR,2004-11-01,,SOUTHRUST CORP,True
SOV,2009-01-30,,SOVEREIGN BANCORP INC,True
SRR,2007-08-20,,STRIDE-RITE CORP,True
SSP,,,,False
STO,2018-05-17,,Statoil Asa,True
STR,2025-08-19,BBG01C5FH7P2,Sitio Royalties Corp.,True
SUB,,,,False
SUN,,,,False
SUNEQ,,,,False
SVU,2018-10-23,,SUPERVALU Inc.,True
SXCL,2016-04-01,,STEEL EXCEL INC. COMMON STOCK,True
TA,2023-05-16,BBG000F71CC6,TravelCenters of America LLC,True
TCOMA,,,,False
TDM,,,,False
TEK,,,,False
TEN,,,,False
THY,,,,False
TIE,2013-01-09,,TITANIUM METALS CORP(NEW),True
TIN,2012-02-14,,TEMPLE INLAND INC,True
TLAB,2013-12-05,,TELLABS INC,True
TMC,,,,False
TMC-A,,,,False
TNB,2012-05-17,,THOMAS & BETTS CORPORATION,True
TOS,,,,False
