ticker,delisted_utc,composite_figi,polygon_name,polygon_found
PGL,2007-02-22,,PEOPLES ENERGY CORP,True
PGN,2015-12-18,,PARAGON OFFSHORE PLC (GBR),True
PHA,2014-02-24,,"PULTEGROUP, INC 7.375% SENIOR NOTES DUE 6/01/2046",True
PHB,2026-02-23,BBG000TWWN01,Invesco Fundamental High Yield Corporate Bond ETF,True
PMCS,2016-01-19,,P M C SIERRA INC,True
PNU,2012-03-23,,PNC FINL SVCS GRP PN CAP TR D CAP SECS,True
PRD,2011-12-20,,"Primus Guaranty, LTD. Sr Nt (Bermuda)",True
PVN,2005-10-03,,PROVIDIAN FINANCIAL BANCORP,True
PVT,2019-12-20,BBG00MXS1H95,Pivotal Acquisition Corp.,True
PWJ,2011-06-16,,POWERSHARES DYNAMIC MID CAP GRTH PORTFOLIO,True
PZE,2018-05-21,,Petrobras Argentina S A,True
QLGC,2016-08-17,,QLOGIC CORP,True
QTRN,2003-09-26,,QUINTILES TRANSNATIONAL CORP,True
RAD,2023-10-17,BBG000BRWGG9,Rite Aid Corporation,True
RBK,2006-02-01,,REEBOK INTERNATIONAL LTD,True
RLM,2019-08-01,,Realm Therapeutics plc American Depositary Shares,True
RML,2006-08-03,,RUSSELL CORPORATION (DELAWARE),True
ROH,2009-04-02,,ROHM AND HASS COMPANY,True
RRD,2022-02-28,BBG00D0MXGL7,RR Donnelley & Sons Co.,True
RX,2010-03-01,,IMS HEALTH INC,True
RYI,2026-02-24,BBG000Q7V224,RYERSON HOLDING CORPORATION,True
SAF,2021-08-31,,Saratoga Investment Corp. 6.25% Notes due 2025,True
SAI,2024-09-11,,SAI.TECH Global Corporation Class A Ordinary Shares,True
SAPE,2015-02-09,,SAPIENT CORP,True
SBL,2009-10-30,,MERRILL LYNCH & CO INC UNITS ACCELERATED RETURN BEAR MKT NT,True
SEBL,2006-02-01,,SIEBEL SYSTEMS INC,True
